command, velocity, acceleration
0.0, 0.0, NaN
0.0028000000000000004, 0.0, 0.0
0.006100000000000001, 0.0, 0.0
0.008900000000000002, 0.0, 0.0
0.011500000000000002, 0.0, 0.0
0.014100000000000001, 0.0, 0.0
0.016800000000000002, 0.0, 0.0
0.0194, 0.0, 0.0
0.022, 0.0, 0.0
0.024599999999999997, 0.0, 0.0
0.027299999999999998, 0.0, 0.0
0.0301, 0.0, 0.0
0.0331, 0.0, 0.0
0.0355, 0.0, 0.0
0.0378, 0.0, 0.0
0.04, 0.0, 0.0
0.0434, 0.0, 0.0
0.0466, 0.0, 0.0
0.0511, 0.0, 0.0
0.0537, 0.0, 0.0
0.0567, 0.0, 0.0
0.0596, 0.0, 0.0
0.0624, 0.0, 0.0
0.0649, 0.0, 0.0
0.0682, 0.4487989505128276, 13.599968197358411
0.071, 0.4487989505128276, 0.0
0.0736, 0.4487989505128276, -17.261498096647216
0.07629999999999999, 1.3463968515384828, 49.86655005698084
0.07919999999999999, 0.8975979010256552, -15.475825879752675
0.0827, 0.4487989505128276, -12.822827157509359
0.08549999999999999, 0.0, -16.0285339468867
0.08839999999999999, 0.4487989505128276, 0.0
0.091, 0.4487989505128276, 17.261498096647216
0.0948, 0.0, -11.81049869770599
0.0982, 0.4487989505128276, 13.199969132730223
0.1027, 0.4487989505128276, 0.0
0.1059, 0.0, -14.024967203525861
0.1093, 0.0, 0.0
0.1119, 0.0, 0.0
0.1143, 0.4487989505128276, 18.699956271367817
0.1169, 0.4487989505128276, 0.0
0.1197, 0.0, -16.0285339468867
0.1225, 0.4487989505128276, 16.0285339468867
0.1252, 0.0, 0.0
0.12760000000000002, 0.0, -18.699956271367817
0.13040000000000002, 0.4487989505128276, 16.0285339468867
0.13340000000000002, 0.0, 0.0
0.13620000000000002, 0.8975979010256552, 0.0
0.13890000000000002, 0.8975979010256552, 16.62218335232695
0.14150000000000001, 0.4487989505128276, 0.0
0.1443, 0.4487989505128276, -16.0285339468867
0.1494, 0.8975979010256552, 17.599958843640298
0.1539, 0.4487989505128276, -19.946620022792338
0.157, 1.3463968515384828, 28.954771000827588
0.16, 0.8975979010256552, -14.959965017094254
0.1628, 1.3463968515384828, 16.0285339468867
0.1655, 1.3463968515384828, 0.0
0.16870000000000002, 1.3463968515384828, 0.0
0.17140000000000002, 1.7951958020513104, 0.0
0.17420000000000002, 1.7951958020513104, 16.0285339468867
0.17690000000000003, 1.7951958020513104, 0.0
0.17970000000000003, 2.243994752564138, 16.0285339468867
0.18280000000000002, 2.6927937030769655, 14.477385500413794
0.18560000000000001, 3.141592653589793, -16.0285339468867
0.1882, 3.141592653589793, 17.261498096647216
0.1907, 3.141592653589793, 17.951958020513104
0.19340000000000002, 4.039190554615448, 16.62218335232695
0.19640000000000002, 4.039190554615448, 14.959965017094254
0.20110000000000003, 4.487989505128276, 9.548913840698459
0.20510000000000003, 4.487989505128276, 0.0
0.20840000000000003, 4.9367884556411035, 13.599968197358411
0.21080000000000004, 4.9367884556411035, 0.0
0.21320000000000006, 4.487989505128276, 0.0
0.21540000000000006, 4.9367884556411035, 0.0
0.21770000000000006, 4.9367884556411035, 0.0
0.22000000000000006, 5.834386356666759, 39.025995696767616
0.22250000000000006, 6.731984257692414, 35.90391604102621
0.22500000000000006, 6.731984257692414, 0.0
0.22740000000000007, 6.731984257692414, 18.699956271367817
0.23010000000000008, 7.180783208205241, -16.62218335232695
0.2335000000000001, 6.731984257692414, 13.199969132730223
0.2364000000000001, 7.180783208205241, -15.475825879752675
0.2392000000000001, 7.180783208205241, 16.0285339468867
0.2418000000000001, 8.527180059743724, 51.78449428994165
0.2449000000000001, 8.527180059743724, 0.0
0.2477000000000001, 8.078381109230897, -16.0285339468867
0.2522000000000001, 8.527180059743724, 0.0
0.2568000000000001, 8.975979010256552, 19.512997848383808
0.2601000000000001, 9.42477796076938, 13.599968197358411
0.26290000000000013, 9.42477796076938, 0.0
0.2655000000000001, 9.42477796076938, 0.0
0.26830000000000015, 9.873576911282207, 16.0285339468867
0.27120000000000016, 10.322375861795035, 15.475825879752675
0.2740000000000002, 10.771174812307862, 16.0285339468867
0.2770000000000002, 10.322375861795035, -14.959965017094254
0.2800000000000002, 9.873576911282207, -14.959965017094254
0.2834000000000002, 11.668772713333517, 26.399938265460445
0.2861000000000002, 11.668772713333517, 33.2443667046539
0.2887000000000002, 11.21997376282069, -17.261498096647216
0.2915000000000002, 11.21997376282069, -16.0285339468867
0.2942000000000002, 11.668772713333517, 0.0
0.2968000000000002, 12.117571663846345, 51.78449428994165
0.2997000000000002, 12.117571663846345, 0.0
0.3043000000000002, 12.117571663846345, 0.0
0.3091000000000002, 13.912767465897655, 28.049934407051722
0.3122000000000002, 12.566370614359172, -28.954771000827588
0.3145000000000002, 11.668772713333517, -39.025995696767616
0.31680000000000025, 12.566370614359172, 39.025995696767616
0.31900000000000023, 13.463968515384828, 40.79990459207524
0.32130000000000025, 13.912767465897655, 0.0
0.32400000000000023, 13.015169564872002, -16.622183352326882
0.32690000000000025, 13.015169564872002, 0.0
0.3301000000000002, 14.81036536692331, 42.07490161057753
0.3332000000000002, 13.463968515384828, -28.954771000827588
0.3364000000000002, 13.463968515384828, -28.049934407051722
0.3393000000000002, 14.81036536692331, 61.9033035190107
0.3417000000000002, 14.81036536692331, 18.699956271367817
0.34450000000000025, 13.912767465897655, -32.0570678937734
0.3473000000000003, 14.81036536692331, 16.0285339468867
0.35000000000000026, 15.259164317436136, 33.24436670465383
0.3548000000000003, 14.81036536692331, -9.349978135683871
